State,City,Lat,Long
WA,Bellingham,48.747687,-122.454297
WA,Centralia,46.713822,-123.01046
WA,Gig Harbor,47.369501,-122.715346
WA,Kent,47.379972,-122.16538
WA,Pacific,47.432251,-121.803388
WA,Seattle,47.432251,-121.803388
WA,Tacoma,47.253671,-122.444335
WA,Washougal,45.611697,-122.315559
WA,White Salmon,45.828588,-121.405863
WA,Woodinville,47.740741,-122.090874
WA,Yakima,46.644476,-120.725557
WI,Eau Claire,44.75653,-91.473097
WI,Glendale,43.1353,-87.9356
WI,Green Bay,44.494385,-87.976051
WI,Hayward,45.955223,-91.278308
WI,Lake Geneva,42.617877,-88.52023
WI,Madison,43.06956,-89.423861
WI,Middleton,43.114772,-89.529153
WI,Milwaukee,43.011264,-87.958409
WI,Monroe,42.612966,-89.656994
WI,Stevens Point,44.551808,-89.531871
WI,Verona,42.995697,-89.566512
WI,Wilson,44.945813,-92.25605
WV,Lewisburg,37.844155,-80.538781
WY,Jackson,43.452793,-110.739266
WY,Pinedale,42.849757,-109.938968
WY,Sheridan,44.780378,-106.837563
